A,Z,isomeric_state,cumulative_yield_percent,uncertainty_percent
66,24,0,0.0,0.0
67,24,0,0.0,0.0
68,24,0,0.0,0.0
69,24,0,0.0,0.0
70,24,0,0.0,0.0
66,25,0,0.0,0.0
67,25,0,0.0,0.0
68,25,0,0.0,0.0
69,25,0,0.0,0.0
70,25,0,0.0,0.0
71,25,0,0.0,0.0
72,25,0,0.0,0.0
66,26,0,0.0,0.0
67,26,0,0.0,0.0
68,26,0,0.0,0.0
69,26,0,0.0,0.0
70,26,0,0.0,0.0
71,26,0,0.0,0.0
72,26,0,0.0,0.0
73,26,0,0.0,0.0
74,26,0,0.0,0.0
76,26,0,0.0,0.0
66,27,0,0.0,0.0
67,27,0,0.0,0.0
68,27,0,0.0,0.0
69,27,0,0.0,0.0
70,27,0,0.0,0.0
71,27,0,0.0,0.0
72,27,0,0.0,0.0
73,27,0,0.0,0.0
74,27,0,0.0,0.0
75,27,0,0.0,0.0
76,27,0,0.0,0.0
77,27,0,0.0,0.0
66,28,0,0.0,0.0
67,28,0,0.0,0.0
68,28,0,1e-06,1e-06
69,28,0,4e-06,3e-06
70,28,0,1e-05,6e-06
71,28,0,8e-06,5e-06
72,28,0,9e-06,5e-06
73,28,0,3e-06,2e-06
74,28,0,1e-06,1e-06
75,28,0,0.0,0.0
76,28,0,0.0,0.0
77,28,0,0.0,0.0
78,28,0,0.0,0.0
79,28,0,0.0,0.0
80,28,0,0.0,0.0
82,28,0,0.0,0.0
66,29,0,0.0,0.0
67,29,0,0.0,0.0
68,29,0,2e-06,1e-06
68,29,1,0.0,0.0
69,29,0,6e-06,4e-06
70,29,0,7e-06,4e-06
70,29,1,1.1e-05,7e-06
71,29,0,2.9e-05,1.8e-05
72,29,0,6.1e-05,3.9e-05
73,29,0,7.5e-05,4.8e-05
74,29,0,6.4e-05,4.1e-05
75,29,0,4.4e-05,2.8e-05
76,29,0,1.7e-05,1.1e-05
77,29,0,5e-06,3e-06
78,29,0,1e-06,1e-06
79,29,0,0.0,0.0
80,29,0,0.0,0.0
81,29,0,0.0,0.0
82,29,0,0.0,0.0
66,30,0,0.0,0.0
67,30,0,0.0,0.0
68,30,0,2e-06,1e-06
69,30,0,6e-06,3e-06
69,30,1,0.0,0.0
70,30,0,2e-05,5e-06
71,30,0,3e-05,1.9e-05
71,30,1,6e-06,4e-06
72,30,0,0.000119,5.4e-05
73,30,0,0.00024,0.000154
74,30,0,0.000507,0.000324
75,30,0,0.000728,0.000466
76,30,0,0.000878,0.000562
77,30,0,0.000682,0.000436
78,30,0,0.00044,0.000282
79,30,0,0.000129,8.3e-05
80,30,0,3.3e-05,2.1e-05
81,30,0,4e-06,2e-06
82,30,0,0.0,0.0
83,30,0,0.0,0.0
84,30,0,0.0,0.0
85,30,0,0.0,0.0
86,30,0,0.0,0.0
66,31,0,0.0,0.0
67,31,0,0.0,0.0
68,31,0,0.0,0.0
69,31,0,6e-06,2e-06
70,31,0,0.0,0.0
71,31,0,3.7e-05,1.2e-05
72,31,1,1e-06,1e-06
72,31,0,0.000121,7.7e-05
73,31,0,0.000262,0.000168
74,31,1,0.000442,0.000283
74,31,0,0.000519,0.000332
75,31,0,0.001311,0.00059
76,31,0,0.002418,0.001088
77,31,0,0.004467,0.002859
78,31,0,0.005954,0.003811
79,31,0,0.00562,0.001798
80,31,0,0.003659,0.002342
81,31,0,0.001514,0.000969
82,31,0,0.000202,0.000129
83,31,0,2.3e-05,1.5e-05
84,31,0,1e-06,1e-06
85,31,0,0.0,0.0
86,31,0,0.0,0.0
87,31,0,0.0,0.0
66,32,0,0.0,0.0
67,32,0,0.0,0.0
68,32,0,0.0,0.0
69,32,0,0.0,0.0
70,32,0,0.0,0.0
71,32,0,0.0,0.0
71,32,1,0.0,0.0
72,32,0,0.000122,5.5e-05
73,32,0,0.000262,6e-05
73,32,1,0.000262,8.4e-05
74,32,0,0.000636,0.000204
75,32,0,0.001372,0.000439
75,32,1,0.000105,6.7e-05
76,32,0,0.002931,0.000469
77,32,0,0.003757,0.002404
77,32,1,0.004278,0.002738
78,32,0,0.017776,0.011377
79,32,1,0.015173,0.00971
79,32,0,0.020841,0.013338
80,32,0,0.058695,0.037565
81,32,0,0.056493,0.036156
82,32,0,0.027275,0.017456
83,32,0,0.008049,0.005151
84,32,0,0.001856,0.001188
85,32,0,0.000108,6.9e-05
86,32,0,1.7e-05,1.1e-05
87,32,0,1e-06,1e-06
88,32,0,0.0,0.0
89,32,0,0.0,0.0
90,32,0,0.0,0.0
69,33,0,0.0,0.0
71,33,0,0.0,0.0
72,33,0,0.0,0.0
73,33,0,0.0,0.0
74,33,0,0.0,0.0
74,33,1,0.0,0.0
75,33,0,0.001372,0.00022
76,33,0,6e-06,4e-06
77,33,0,0.007235,0.000796
78,33,0,0.018764,0.008444
79,33,0,0.043422,0.006947
80,33,0,0.09064,0.040788
81,33,0,0.159072,0.050903
82,33,0,0.084031,0.05378
82,33,1,0.056758,0.036325
83,33,0,0.123454,0.079011
84,33,1,0.032841,0.021018
84,33,0,0.034618,0.022155
85,33,0,0.01441,0.006484
86,33,0,0.006018,0.003851
87,33,0,0.001268,0.000812
88,33,0,0.000102,6.5e-05
89,33,0,5e-06,3e-06
90,33,0,1e-06,1e-06
92,33,0,0.0,0.0
