A,mass_chain_yield_percent
66,0.0
67,0.0
68,2e-06
69,6e-06
70,2e-05
71,3.7e-05
72,0.000122
73,0.000262
74,0.000636
75,0.001372
76,0.002931
77,0.007235
78,0.018776
79,0.043651
80,0.093886
81,0.183641
82,0.228395
83,0.296731
84,0.480323
85,0.574061
86,0.766008
87,1.00391
88,1.32977
89,1.7228
90,2.10427
91,2.48647
92,3.00914
93,3.79753
94,4.32176
95,4.81845
96,4.89008
97,5.41405
98,5.83082
99,6.21172
100,6.77423
101,6.0191
102,6.12626
103,6.99481
104,6.09475
105,5.64375
106,4.35016
107,3.33002
108,2.16393
109,1.47788
110,0.645124
111,0.295989
112,0.128506
113,0.081663
114,0.060253
115,0.042599
116,0.050677
117,0.044458
118,0.032488
119,0.032249
120,0.030585
121,0.037808
122,0.044655
123,0.044119
124,0.078616
125,0.111658
126,0.202322
127,0.50625
128,0.734026
129,1.37144
130,2.35696
131,3.85639
132,5.40679
133,7.01629
134,7.67612
135,7.62091
136,7.04591
137,6.61376
138,6.12444
139,5.63713
140,5.36472
141,5.2469
142,4.92891
143,4.41321
144,3.73974
145,2.98627
146,2.45812
147,2.00296
148,1.64209
149,1.21655
150,0.966295
151,0.738417
152,0.57631
153,0.361255
154,0.259757
155,0.165722
156,0.124016
157,0.074151
158,0.041439
159,0.020653
160,0.009675
161,0.004841
162,0.002231
163,0.000916
164,0.00033
165,0.000134
166,6.7e-05
167,1.5e-05
168,4e-06
169,1e-06
170,0.0
171,0.0
172,0.0
