A,Z,isomeric_state,cumulative_yield_percent,uncertainty_percent
66,23,0,0.0,0.0
66,24,0,0.0,0.0
67,24,0,0.0,0.0
68,24,0,0.0,0.0
69,24,0,0.0,0.0
70,24,0,0.0,0.0
66,25,0,0.0,0.0
67,25,0,0.0,0.0
68,25,0,0.0,0.0
69,25,0,0.0,0.0
70,25,0,0.0,0.0
71,25,0,0.0,0.0
72,25,0,0.0,0.0
73,25,0,0.0,0.0
66,26,0,0.0,0.0
67,26,0,0.0,0.0
68,26,0,0.0,0.0
69,26,0,0.0,0.0
70,26,0,0.0,0.0
71,26,0,0.0,0.0
72,26,0,0.0,0.0
73,26,0,0.0,0.0
74,26,0,0.0,0.0
75,26,0,0.0,0.0
76,26,0,0.0,0.0
66,27,0,0.0,0.0
67,27,0,0.0,0.0
68,27,0,0.0,0.0
69,27,0,0.0,0.0
70,27,0,0.0,0.0
71,27,0,0.0,0.0
72,27,0,0.0,0.0
73,27,0,0.0,0.0
74,27,0,0.0,0.0
75,27,0,0.0,0.0
76,27,0,0.0,0.0
77,27,0,0.0,0.0
78,27,0,0.0,0.0
66,28,0,0.0,0.0
67,28,0,0.0,0.0
68,28,0,1e-06,0.0
69,28,0,1e-06,1e-06
70,28,0,3e-06,2e-06
71,28,0,4e-06,3e-06
72,28,0,8e-06,5e-06
73,28,0,7e-06,5e-06
74,28,0,5e-06,3e-06
75,28,0,2e-06,1e-06
76,28,0,1e-06,0.0
77,28,0,0.0,0.0
78,28,0,0.0,0.0
80,28,0,0.0,0.0
82,28,0,0.0,0.0
66,29,0,0.0,0.0
67,29,0,0.0,0.0
68,29,0,1e-06,0.0
68,29,1,0.0,0.0
69,29,0,2e-06,1e-06
70,29,0,2e-06,1e-06
70,29,1,2e-06,1e-06
71,29,0,8e-06,5e-06
72,29,0,2e-05,9e-06
73,29,0,5.4e-05,3.5e-05
74,29,0,7.3e-05,4.7e-05
75,29,0,0.000102,6.5e-05
76,29,0,8.3e-05,5.3e-05
77,29,0,4.5e-05,2.9e-05
78,29,0,1.1e-05,7e-06
79,29,0,0.0,0.0
80,29,0,0.0,0.0
81,29,0,0.0,0.0
82,29,0,0.0,0.0
83,29,0,0.0,0.0
66,30,0,0.0,0.0
67,30,0,0.0,0.0
68,30,0,1e-06,0.0
69,30,0,2e-06,1e-06
