Z,charge_yield_percent
23,0.0
24,0.0
25,0.0
26,3.2e-05
27,0.000823
28,0.023639
29,0.027495
30,0.028664
31,0.031565
32,0.045421
33,0.045356
34,0.089817
35,0.147144
36,0.219653
37,0.501067
38,1.968949
39,6.448078
40,22.176662
41,29.740956
42,35.810189
43,2.178605
44,0.390584
45,0.092654
46,0.065292
47,0.092654
48,0.390584
49,2.178605
50,35.810189
51,29.740956
52,22.176662
53,6.448078
54,1.968949
55,0.501067
56,0.219653
57,0.147144
58,0.089817
59,0.045356
60,0.045421
61,0.031565
62,0.028664
63,0.027495
64,0.023639
65,0.000823
66,3.2e-05
67,0.0
68,0.0
69,0.0
