Z,charge_yield_percent
23,1.4e-05
24,0.006206
25,0.529021
26,0.117417
27,0.046885
28,0.972431
29,4.30605
30,1.266784
31,0.682021
32,1.093132
33,2.654036
34,0.980111
35,0.690296
36,1.319586
37,8.781625
38,3.996327
39,3.007862
40,9.611353
41,20.721021
42,13.958901
43,17.885633
44,3.825801
45,2.540202
46,2.014567
47,2.540202
48,3.825801
49,17.885633
50,13.958901
51,20.721021
52,9.611353
53,3.007862
54,3.996327
55,8.781625
56,1.319586
57,0.690296
58,0.980111
59,2.654036
60,1.093132
61,0.682021
62,1.266784
63,4.30605
64,0.972431
65,0.046885
66,0.117417
67,0.529021
68,0.006206
69,1.4e-05
