A,mass_yield_percent
70,0.077217
71,0.081371
72,0.084019
73,0.08666
74,0.092497
75,0.10237
76,0.116957
77,0.135875
78,0.166995
79,0.216142
80,0.292329
81,0.40227
82,0.54999
83,0.726706
84,0.917237
85,1.097615
86,1.281133
87,1.465835
88,1.656613
89,1.859314
90,2.163718
91,2.470786
92,2.855625
93,3.285843
94,3.767319
95,4.223253
96,4.665596
97,5.232259
98,5.792621
99,6.40922
100,6.964876
101,7.268292
102,7.311007
103,6.979484
104,6.112362
105,4.228711
106,2.759045
107,1.837185
108,1.232425
109,0.850025
110,0.598204
111,0.428056
112,0.311525
113,0.232083
114,0.178453
115,0.144679
116,0.122346
117,0.112014
118,0.107688
119,0.112014
120,0.122346
121,0.144679
122,0.178453
123,0.232083
124,0.311525
125,0.428056
126,0.598204
127,0.850025
128,1.232425
129,1.837185
130,2.759045
131,4.228711
132,6.112362
133,6.979484
134,7.311007
135,7.268292
136,6.964876
137,6.40922
138,5.792621
139,5.232259
140,4.665596
141,4.223253
142,3.767319
143,3.285843
144,2.855625
145,2.470786
146,2.163718
147,1.859314
148,1.656613
149,1.465835
150,1.281133
151,1.097615
152,0.917237
153,0.726706
154,0.54999
155,0.40227
156,0.292329
157,0.216142
158,0.166995
159,0.135875
160,0.116957
161,0.10237
162,0.092497
163,0.08666
164,0.084019
165,0.081371
166,0.077217
